,Sentiment
23146,2
32685,1
9670,0
32266,0
32783,2
40055,2
40644,0
29666,0
18420,1
9558,2
4576,1
29764,2
39539,0
28324,0
18989,0
20775,1
30019,2
7790,2
10035,2
7114,2
22680,2
3198,0
39589,1
9915,0
1999,2
34917,2
32183,2
6998,1
2548,0
14685,0
12623,2
8227,2
3281,2
38378,2
20394,1
17269,2
12161,2
29547,2
38069,2
28732,2
38265,0
7332,0
11988,0
4005,2
9637,0
2239,2
15495,2
7891,0
2781,2
39411,0
14852,2
30520,2
7720,0
36930,0
7263,0
30003,2
4694,2
32885,2
28462,0
35777,2
12179,0
31820,2
15549,1
20306,2
24477,1
21687,1
36262,2
5998,0
627,0
11864,1
15534,0
25750,0
5116,0
23987,2
37221,1
37202,2
7936,2
3916,2
34719,2
6323,2
10966,2
25935,2
8958,0
10597,0
12712,1
14130,2
17220,1
24299,2
35399,0
30980,0
5788,2
26077,2
38774,0
16809,2
19788,0
38876,2
11593,0
6895,0
36288,1
4212,2
8251,2
21276,0
31735,1
32215,0
27869,0
38904,1
9432,2
19083,1
5043,0
16537,2
34020,2
12259,1
22173,0
526,0
39809,1
266,0
33893,0
37424,2
27214,0
5972,0
37593,2
6767,2
29249,0
24165,2
2636,2
25348,0
27977,2
36688,2
9987,2
12771,1
6092,2
32646,2
27328,1
38776,0
11755,2
20525,0
18060,0
2114,2
12052,0
31500,2
29843,1
2040,0
21560,0
10149,0
37326,2
19406,2
26500,1
4824,0
13467,2
34071,0
5599,1
20223,0
19455,2
23662,0
21122,2
37288,2
16993,2
22988,1
6193,0
36565,1
32427,0
16338,2
28305,2
32504,2
32023,1
24209,1
7204,1
30141,1
547,1
9316,0
11679,2
14749,2
4840,0
472,2
16200,2
21691,2
31822,1
615,0
33146,1
25489,2
29137,2
33141,1
30815,2
6771,2
5958,1
25331,2
32755,1
16908,0
13537,2
39725,2
28671,0
11787,1
35139,1
37010,0
24510,1
17968,0
16505,0
1218,0
17889,0
39727,0
20956,1
29416,0
25146,0
8841,0
34695,2
22728,2
39637,0
29936,2
37567,2
3586,2
10023,0
29,0
39662,1
24961,2
38036,2
19810,0
27938,0
14796,1
9946,1
13637,0
33910,0
29244,0
14594,2
5065,2
2008,2
855,2
23479,0
18676,2
26899,2
8866,2
9645,2
21584,2
9674,2
18471,0
37098,1
34346,2
3607,2
22624,0
32035,0
2319,1
30284,2
20782,2
29425,0
633,2
19134,2
34417,0
9487,0
12957,0
15832,0
24100,0
16674,1
2181,0
640,2
14982,2
5577,1
22496,2
14762,1
29444,1
6210,2
21975,0
30433,1
9780,0
30252,0
39246,1
14462,0
32742,2
32812,2
28235,2
23374,1
534,0
30792,2
3256,2
29170,1
15016,1
13929,2
40610,2
6724,2
20742,2
17497,1
26263,0
18621,2
11681,0
39990,0
13526,2
8938,2
38407,2
38844,0
15523,0
5304,0
5951,1
32025,0
40058,1
11512,0
9195,0
2194,0
7954,0
31141,0
1966,0
9717,1
21357,2
39507,0
40671,2
27779,0
38649,2
29340,0
35358,0
23750,2
9145,1
4559,2
2062,0
10214,1
39495,0
18697,2
28334,1
13781,1
22820,2
16360,0
29135,1
27382,0
23321,1
14250,2
24892,0
34060,0
14523,1
40181,2
16388,0
40794,2
1844,0
2031,0
10710,2
22622,0
14706,1
13719,0
1339,2
7165,0
25741,1
1681,0
39883,0
29618,0
12503,2
27915,2
12292,0
8895,0
31499,2
26354,0
28134,2
40202,1
11356,1
11521,0
11782,2
8571,1
17529,0
4610,2
1451,2
21581,0
17093,2
6754,2
30993,2
3186,2
15966,2
32572,2
17618,2
15663,2
19011,0
9696,0
4181,2
4468,0
39735,0
31887,0
11990,2
17222,2
36927,2
18625,2
8109,1
12630,1
453,2
9063,1
14297,0
20340,1
23284,2
35135,2
28500,2
40257,0
21242,2
33357,0
11168,0
30959,2
38816,2
4675,2
9491,0
34932,1
23282,0
7186,2
5766,2
23381,2
20109,2
21025,0
12625,0
23387,1
15405,2
38745,0
4116,1
38640,2
33630,2
12264,0
23441,2
18009,2
41109,2
19190,1
2153,2
3759,0
8815,0
35238,2
12751,1
11629,0
39899,0
31360,2
23598,2
19239,2
14574,1
16112,1
375,2
36874,0
39786,0
2080,0
19089,1
18944,2
36889,0
34315,2
35877,0
25434,2
862,0
26754,0
24253,2
32352,2
2561,2
39360,1
3625,0
30618,1
23135,2
7557,2
15479,0
34520,2
33278,2
29542,2
28001,1
29775,1
23729,2
25887,2
39061,2
16857,2
16867,1
3746,0
15037,2
28120,0
25982,2
20726,1
17674,2
10491,2
33458,0
20034,0
17393,2
10595,1
5523,0
22081,2
10338,2
22376,2
12239,0
20776,2
2686,0
2477,1
18899,2
13209,0
39766,2
33290,0
10627,2
24046,0
32102,2
40126,2
6914,0
11060,2
30994,0
18308,1
17243,0
18874,2
799,0
330,2
22702,2
7909,0
28969,0
39512,2
29984,2
30081,2
28714,2
32711,2
31892,2
27510,1
38229,1
20060,1
38810,1
201,2
32650,2
8337,0
20190,2
36261,2
17196,2
32925,0
3,0
17114,0
3620,2
17484,2
36397,2
1595,0
11700,2
7764,0
31894,0
29375,0
37493,0
36039,2
32608,0
40154,2
14133,0
784,0
9305,0
8833,0
9817,0
26273,2
9740,0
228,1
6884,0
7284,1
24129,2
25833,1
33279,2
32804,0
32754,2
32846,0
27395,2
15821,2
22903,0
32859,2
13301,0
2993,2
22563,2
24349,1
27771,0
13513,2
18891,1
35204,2
20978,1
15522,2
13351,0
15230,1
2137,0
2016,0
37999,2
11218,1
22869,1
22346,2
6634,1
22679,2
14481,0
17966,0
8115,0
35025,2
39509,0
21965,2
27483,1
23343,0
4363,0
22805,0
6840,2
5048,1
32082,2
23781,0
11898,0
33943,2
22540,1
27868,2
1690,2
19480,2
18567,1
30626,0
18166,0
12706,2
1310,2
4524,1
34642,1
5963,0
31399,1
15022,1
36010,2
8945,2
25743,0
38222,1
14112,0
15828,1
32226,0
8775,0
35274,0
30890,1
20201,2
33843,2
8244,2
37875,1
16670,2
28085,0
30960,1
10869,0
3842,2
21488,2
39550,0
1147,2
14585,0
28600,2
37275,0
9100,0
27568,1
12119,2
3390,1
17261,2
28679,0
3859,0
28676,0
21395,0
3974,0
29080,2
20975,2
26537,1
18660,1
40835,2
